,Actual_User_Experience,Predicted_User_Experience,Correct,Probability_Negative,Probability_Neutral,Probability_Positive
1471,Negative,Positive,False,0.31655802056796806,0.3176746412586788,0.36576733817335316
8107,Positive,Positive,True,0.32499254082933754,0.3212599289331419,0.3537475302375205
5222,Neutral,Positive,False,0.32513887588070517,0.32684224297856307,0.3480188811407319
8023,Negative,Positive,False,0.31581753791606304,0.31841671242006175,0.36576574966387515
6912,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
3690,Neutral,Positive,False,0.32449928950811785,0.3099097535212575,0.3655909569706247
7314,Positive,Neutral,False,0.32524420741158966,0.3390697734781062,0.33568601911030405
1182,Negative,Negative,True,0.3445455932698298,0.33065806870077585,0.3247963380293943
7952,Neutral,Neutral,True,0.32507612750978965,0.3507730786578945,0.3241507938323158
1326,Positive,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
6304,Negative,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
4628,Neutral,Neutral,True,0.33610894756681237,0.33905039732806225,0.32484065510512533
3105,Positive,Positive,True,0.32517757723731217,0.3289274908249857,0.3458949319377021
7630,Negative,Positive,False,0.3294806626027143,0.3341365753189815,0.3363827620783043
564,Negative,Neutral,False,0.3250898786212276,0.3502193194026074,0.324690801976165
4398,Negative,Neutral,False,0.32524420741158966,0.3390697734781062,0.33568601911030405
3497,Negative,Negative,True,0.34448841324982094,0.3198201864424685,0.33569140030771055
8390,Positive,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
7993,Neutral,Negative,False,0.33527956008045756,0.3347446899740093,0.3299757499455331
7980,Neutral,Positive,False,0.3162075263057713,0.330093909235492,0.35369856445873676
2654,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
1906,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
6367,Positive,Positive,True,0.33220458706864436,0.31160184917786654,0.3561935637534891
9860,Negative,Positive,False,0.3251789067686413,0.32900849023571976,0.345812602995639
536,Negative,Neutral,False,0.32512587166370954,0.3486441702648904,0.3262299580714001
6832,Positive,Positive,True,0.31672233201848404,0.33878854858616736,0.34448911939534854
3975,Negative,Neutral,False,0.3236789993721357,0.34037653612306995,0.33594446450479437
2051,Negative,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
3142,Neutral,Negative,False,0.3445455932698298,0.33065806870077585,0.3247963380293943
794,Negative,Positive,False,0.3244932854505125,0.30980126204260666,0.3657054525068809
6756,Positive,Negative,False,0.34451271283243257,0.3214299235448196,0.33405736362274785
9918,Neutral,Positive,False,0.3442249951923925,0.3101828324296707,0.3455921723779367
7145,Negative,Positive,False,0.3252100840904162,0.33120971541500444,0.3435802004945793
6788,Positive,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
7226,Positive,Positive,True,0.32517757723731217,0.3289274908249857,0.3458949319377021
162,Positive,Neutral,False,0.33612985687883473,0.3373972003842993,0.32647294273686595
8374,Negative,Positive,False,0.31657222942724755,0.3286752125383662,0.3547525580343862
2877,Positive,Negative,False,0.34448841324982094,0.3198201864424685,0.33569140030771055
8827,Negative,Positive,False,0.32485754544353523,0.31747597697354185,0.35766647758292286
3218,Positive,Negative,False,0.3445420198395646,0.3311914725131897,0.32426650764724557
3050,Negative,Negative,True,0.35501334155667363,0.31825021140052034,0.3267364470428061
1973,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
6067,Neutral,Positive,False,0.3251789067686413,0.32900849023571976,0.345812602995639
4528,Negative,Positive,False,0.32449928950811785,0.3099097535212575,0.3655909569706247
7078,Positive,Negative,False,0.3445508518845806,0.31560991899641627,0.3398392291190031
217,Negative,Positive,False,0.3249375979613494,0.3196195471198823,0.3554428549187682
7923,Neutral,Neutral,True,0.33610090633948003,0.3395927366719889,0.3243063569885311
4672,Negative,Negative,True,0.3445455932698298,0.33065806870077585,0.3247963380293943
600,Negative,Neutral,False,0.316654239443571,0.35070425928191945,0.33264150127450953
8531,Negative,Neutral,False,0.32524420741158966,0.3390697734781062,0.33568601911030405
1399,Positive,Neutral,False,0.3252459388352786,0.3384097258619816,0.3363443353027399
2627,Neutral,Neutral,True,0.3344635463740456,0.34070308291787477,0.32483337070807966
6259,Positive,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
5445,Negative,Positive,False,0.3244932854505125,0.30980126204260666,0.3657054525068809
5866,Neutral,Neutral,True,0.32507612750978965,0.3507730786578945,0.3241507938323158
2351,Positive,Positive,True,0.32518070686826334,0.3291194403106248,0.3456998528211118
2478,Negative,Neutral,False,0.33610894756681237,0.33905039732806225,0.32484065510512533
378,Positive,Negative,False,0.3443849113868531,0.3405120133908551,0.3151030752222918
2077,Neutral,Neutral,True,0.33531280987529494,0.34038407891079114,0.32430311121391386
1734,Positive,Neutral,False,0.3247449922487129,0.3604416857724742,0.31481332197881284
9163,Positive,Positive,True,0.32449928950811785,0.3099097535212575,0.3655909569706247
5983,Positive,Neutral,False,0.32507612750978965,0.3507730786578945,0.3241507938323158
8769,Positive,Positive,True,0.3167286181763256,0.34047649969724086,0.34279488212643355
1974,Negative,Negative,True,0.3443849113868531,0.3405120133908551,0.3151030752222918
7552,Positive,Positive,True,0.3244071888388925,0.3082919355184709,0.36730087564263647
3950,Neutral,Negative,False,0.34451271283243257,0.3214299235448196,0.33405736362274785
2545,Positive,Positive,True,0.3252100840904162,0.33120971541500444,0.3435802004945793
7018,Negative,Positive,False,0.3239237436342512,0.3230702072312106,0.35300604913453815
7336,Negative,Neutral,False,0.3252445603213569,0.33895771317981127,0.3357977264988318
8261,Positive,Positive,True,0.32491842714718877,0.3190826445258307,0.3559989283269805
4983,Neutral,Neutral,True,0.3252367841570442,0.34063160201981385,0.33413161382314205
8617,Negative,Positive,False,0.3167286181763256,0.34047649969724086,0.34279488212643355
1483,Neutral,Neutral,True,0.3252362658444432,0.3407135475717141,0.3340501865838427
4653,Positive,Negative,False,0.3445455932698298,0.33065806870077585,0.3247963380293943
2452,Neutral,Positive,False,0.3352561439954991,0.32699636308196456,0.3377474929225365
9007,Neutral,Neutral,True,0.3252445603213569,0.33895771317981127,0.3357977264988318
7625,Negative,Neutral,False,0.3251282763714236,0.34853114531718843,0.3263405783113879
3980,Positive,Neutral,False,0.31668716110817485,0.34844309710122184,0.3348697417906033
9542,Neutral,Positive,False,0.31657222942724755,0.3286752125383662,0.3547525580343862
6954,Negative,Negative,True,0.3445420198395646,0.3311914725131897,0.32426650764724557
6726,Positive,Neutral,False,0.3252367841570442,0.34063160201981385,0.33413161382314205
163,Negative,Neutral,False,0.3252445603213569,0.33895771317981127,0.3357977264988318
